,movieid,title,year,romance,sci-fi,animation,film-noir,musical,adventure,thriller,horror,documentary,fantasy,mystery,children,comedy,crime,western,imax,war,drama,action,pc1,pc2,tsne_1,tsne_2,cluster_no
0,1,Toy Story,1995.0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1.0723975197633009,0.31805778525401707,12.043888,31.898932,23
1,2,Jumanji,1995.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.29466238026232505,0.5297211182417956,25.019049,41.152977,0
2,3,Grumpier Old Men,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8259408403478826,-0.4344662687515607,-31.298958,-22.179134,16
3,4,Waiting to Exhale,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.22107441549623907,-1.0044258371567751,23.915854,-41.1597,6
4,5,Father of the Bride Part II,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7562343573627639,-0.11883799232535014,19.774,-6.5479126,3
5,6,Heat,1995.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,-0.43624058182320047,1.056469544296674,-11.491682,60.234013,8
6,7,Sabrina,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8259408403478635,-0.4344662687515459,-32.438236,-21.780424,16
7,8,Tom and Huck,1995.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2369029909851206,0.44972115528037965,32.099663,53.616383,0
8,9,Sudden Death,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.010268951111673605,0.6111300433631356,15.698082,76.776794,30
9,10,GoldenEye,1995.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.23761196020536088,1.2074334723002813,-2.558616,48.64726,27
10,11,"American President, The",1995.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.22107441549623133,-1.004425837156774,23.784403,-41.23173,6
11,12,Dracula: Dead and Loving It,1995.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.7275830099607355,0.052245795237152594,-44.916492,-1.5916063,3
12,13,Balto,1995.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3192495470919045,0.5183238797356872,29.526054,50.51993,0
13,14,Nixon,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5440206508830793,-0.4085315032875,-13.546405,-2.354386,10
14,15,Cutthroat Island,1995.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.12532444191947045,0.537093491323207,-0.24660808,69.03972,30
15,16,Casino,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.676762362454898,-0.3179037069048536,-20.65875,-61.79744,17
16,17,Sense and Sensibility,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.47431416789796366,-0.7241597797137036,44.293526,8.3108015,9
17,18,Four Rooms,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7562343573627731,-0.11883799232535262,25.258406,-13.016308,3
18,19,Ace Ventura: When Nature Calls,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7562343573627719,-0.1188379923253542,24.99538,-13.996878,3
19,20,Money Train,1995.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,-0.34571842328067454,0.20624391844837164,-15.497013,26.457687,7
20,21,Get Shorty,1995.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.33026272665123463,0.32650150860816424,59.692287,-4.3012033,8
21,22,Copycat,1995.0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,-1.0764064367264243,0.2616364741151987,-60.0168,25.931648,22
22,23,Assassins,1995.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,-0.4362405818232093,1.0564695442966585,-12.270445,61.393944,8
23,24,Powder,1995.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5551980526141702,-0.17613327719721272,-30.797678,38.86984,10
24,25,Leaving Las Vegas,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4743141678979652,-0.7241597797137045,40.134064,8.076696,9
25,26,Othello,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5440206508830789,-0.4085315032874997,-7.1465654,-2.6335235,10
26,27,Now and Then,1995.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.4338503439125706,-0.36183013751110765,72.27622,28.384449,10
27,28,Persuasion,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4743141678979652,-0.7241597797137045,40.125854,8.108146,9
28,29,"City of Lost Children, The (Cité des enfants perdus, La)",1995.0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,-0.5093145610207115,0.1992030990571556,23.855639,34.36536,5
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.6767623624548965,-0.3179037069048513,-19.165272,-60.936787,17
30,31,Dangerous Minds,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5440206508830789,-0.4085315032874997,-7.14843,-2.665738,10
31,32,Twelve Monkeys (a.k.a. 12 Monkeys),1995.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-0.3213243546320031,0.8022826846655489,-11.222605,51.14356,13
32,34,Babe,1995.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.4338503439125706,-0.36183013751110765,72.27584,28.384275,10
33,36,Dead Man Walking,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.6767623624548965,-0.3179037069048513,-19.165272,-60.936787,17
34,38,It Takes Two,1995.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.8664046643332803,-0.07213662654896141,-47.167076,-50.833733,18
35,39,Clueless,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8259408403478856,-0.43446626875155797,-31.884851,-25.933687,16
